company_id,company_name,company_name_aliases,parent_company_id,company_description,company_website_url,company_founded_date,company_founded_date_precision,headquarters_country_code,headquarters_subdivision_code,company_status,company_status_date_assessed,company_source_url,company_source_access_date
org_intuit,Intuit,,,Intuit is the provider recorded for a verified first-wave AI product candidate.,https://investors.intuit.com/news-events/press-releases/detail/1222/intuit-launches-ai-powered-intuit-assist-for-quickbooks-giving-millions-of-businesses-a-competitive-edge,,unknown,,,active,2026-08-19,https://investors.intuit.com/news-events/press-releases/detail/1222/intuit-launches-ai-powered-intuit-assist-for-quickbooks-giving-millions-of-businesses-a-competitive-edge,2026-08-19
org_xero,Xero,,,Xero is the provider recorded for a verified first-wave AI product candidate.,https://www.xero.com/uk/media-releases/xero-unveils-breakthrough-tech-behind-jax/,,unknown,,,active,2026-08-19,https://www.xero.com/uk/media-releases/xero-unveils-breakthrough-tech-behind-jax/,2026-08-19
org_floqast,FloQast,,,FloQast is the provider recorded for a verified first-wave AI product candidate.,https://www.floqast.com/press-releases/introducing-the-floqast-accounting-transformation-platform-bringing-ai-power-to-accounting-automation,,unknown,,,active,2026-08-19,https://www.floqast.com/press-releases/introducing-the-floqast-accounting-transformation-platform-bringing-ai-power-to-accounting-automation,2026-08-19
org_mindbridge,MindBridge,,,MindBridge is the provider recorded for a verified first-wave AI product candidate.,https://www.mindbridge.ai/news/mindbridge-expands-financial-risk-discovery-platform/,,unknown,,,active,2026-08-19,https://www.mindbridge.ai/news/mindbridge-expands-financial-risk-discovery-platform/,2026-08-19
org_blackline,BlackLine,,,BlackLine is the provider recorded for a verified first-wave AI product candidate.,https://www.blackline.com/about/press-releases/2024/blackline-announces-ai-powered-innovation-for-analyzing-journal-entries/,,unknown,,,active,2026-08-19,https://www.blackline.com/about/press-releases/2024/blackline-announces-ai-powered-innovation-for-analyzing-journal-entries/,2026-08-19
org_workiva,Workiva,,,Workiva is the provider recorded for a verified first-wave AI product candidate.,https://investor.workiva.com/news-releases/news-release-details/workiva-strengthens-its-platform-leadership-integration,,unknown,,,active,2026-08-19,https://investor.workiva.com/news-releases/news-release-details/workiva-strengthens-its-platform-leadership-integration,2026-08-19
org_caseware,Caseware,,,Caseware is the provider recorded for a verified first-wave AI product candidate.,https://www.caseware.com/news/caseware-introduces-ai-powered-digital-assistant-aida,,unknown,,,active,2026-08-19,https://www.caseware.com/news/caseware-introduces-ai-powered-digital-assistant-aida,2026-08-19
org_datasnipper,DataSnipper,,,DataSnipper is the provider recorded for a verified first-wave AI product candidate.,https://www.datasnipper.com/resources/documine-now-available-globally---datasnippers-most-advanced-genai-product-yet,,unknown,,,active,2026-08-19,https://www.datasnipper.com/resources/documine-now-available-globally---datasnippers-most-advanced-genai-product-yet,2026-08-19
org_vena,Vena,,,Vena is the provider recorded for a verified first-wave AI product candidate.,https://www.venasolutions.com/newsroom/vena-introduces-vena-copilot-a-complete-planning-ai-assistant-purpose-built-for-fpa-teams,,unknown,,,active,2026-08-19,https://www.venasolutions.com/newsroom/vena-introduces-vena-copilot-a-complete-planning-ai-assistant-purpose-built-for-fpa-teams,2026-08-19
org_sage,Sage,,,Sage is the provider recorded for a verified first-wave AI product candidate.,https://www.sage.com/en-us/news/press-releases/2024/12/sage-intacct-supports-smb-growth-with-new-enhancements-and-capabilities/,,unknown,,,active,2026-08-19,https://www.sage.com/en-us/news/press-releases/2024/12/sage-intacct-supports-smb-growth-with-new-enhancements-and-capabilities/,2026-08-19
