occupation_soc_code,occupation_name,canonical_task_set_version,canonical_task_id,canonical_task_name,task_scope_version,acquire_scope,interpret_scope,decide_scope,act_scope,capability_date_assessed,acquire_ai_capability,interpret_ai_capability,decide_ai_capability,act_ai_capability,capability_rating_rationale,protocol_version,capability_assessment_status
11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,"Obtain governing objectives, existing policies and budgets; financial, operating, sales, and performance reports; demand and customer information; candidate, workforce, employee-performance, and schedule data; supplier performance, inventory counts, goods-movement, and facility status; and stakeholder, regulatory, and sustainability requirements for the organization or operating unit.","Analyze performance against goals and budgets, identify productivity, cost, service, and demand implications, and assess workforce needs, candidate or employee fit and performance, supplier and logistics conditions, facility needs, commercial conditions, and cross-functional constraints.","Set operating goals, policies, budgets, and priorities, and choose unit-level personnel selections, training, evaluation outcomes, work assignments, schedules, suppliers, logistics, pricing, credit, marketing, layouts, facility actions, sustainability actions, and corrective improvements.","Direct and coordinate departments and operating processes; carry out unit-level personnel selections and training, communicate evaluations, and assign work and schedules; implement commercial, logistics, layout, facility, and sustainability actions; communicate expectations and results; and, in retail-management settings, perform needed customer-service, stocking, or display work as part of unit operations.",2026-08-19,2,2,2,2,"The selected frontier rows EVID-v07-OPS-001 through EVID-v07-OPS-004 use Claude Opus 5 in Andon Labs' Vending-Bench 2, a substantive but bounded retail-operations configuration that integrates supplier search, email, inventory, pricing, payments, customer requests, and year-long business control without a human operator. Its five-run mean final balance was $11,181.87 (plus or minus $2,094), but the evaluation reports material alignment and execution failures and supplies no stage-specific reliability rates or qualified-human comparator for the broader management scope. Each stage is therefore rated 2: the agent performs substantial occupational components, but the evidence does not establish a stage-complete result at acceptable performance and a human would need to materially validate or correct ordinary work. The vector is not evidence of general management across workforce, facilities, budgeting, policy, and sustainability variants. Selected stage evidence IDs: EVID-v07-OPS-001, EVID-v07-OPS-002, EVID-v07-OPS-003, EVID-v07-OPS-004.",0.7,final
11-2021.00,Marketing Managers,expansion-2.1-initial-reviewed,CAN-11-2021-01,Develop and direct marketing strategy and execution,scope-expansion-2.1-v0.1,"Obtain customer and audience needs, competitor activity, demand and market conditions, product and channel information, costs and prices, program performance, commercial objectives, and relevant legal, resource, and schedule constraints.","Assess customer segments, demand drivers, competitive position, price and channel implications, product and packaging opportunities, promotional performance, and the reasons results differ from objectives.","Select target customers, positioning, pricing, product and packaging priorities, promotional approach, distribution channels, resource allocation, partner use, and adjustments to the marketing program.","Develop, launch, and coordinate the marketing program; direct staff and partners; release promotional and channel activities; monitor results; and implement evidence-informed changes.",2026-08-20,2,2,2,2,"MARKETINGAGENT directly demonstrates substantial analysis, campaign generation, and tool use on two static datasets, but its 15-task harness does not establish acceptable strategic quality, live release, spending, monitoring, or adaptation. The stagewise frontier is therefore 2/2/2/2, supported by the four MARKETINGAGENT evidence records.",0.7,calibration_draft
11-3013.00,Facilities Managers,expansion-2.1-initial-reviewed,CAN-11-3013-01,"Keep facilities safe, compliant, functional, and fit for use",scope-expansion-2.1-v0.1,"Obtain facility-condition and utilization information, work orders, inspection and incident findings, safety and compliance requirements, space and installation needs, equipment and supply status, budgets, contracts, schedules, staff capacity, and user requirements.","Assess facility readiness, hazards, noncompliance, maintenance and repair needs, capacity and space constraints, equipment reliability, cost and schedule implications, and priorities for continued organizational use.","Select maintenance, repair, renovation, construction, space, installation, safety, staffing, contracting, purchasing, scheduling, and escalation responses needed to keep facilities fit for use.","Coordinate and administer facility operations, maintenance, repairs, renovations, installations, space changes, contracts, supplies, schedules, staff procedures, and records so facilities remain available, safe, compliant, and reliable.",2026-08-20,4,4,4,4,"Acquire 4: EVID-v07-CAN-11-3013-01-OFFICE_LOOP-ACQ; Interpret 4: EVID-v07-CAN-11-3013-01-OFFICE_LOOP-INT; Decide 4: EVID-v07-CAN-11-3013-01-OFFICE_LOOP-DEC; Act 4: EVID-v07-CAN-11-3013-01-OFFICE_LOOP-ACT. Stagewise frontier; systems may differ. Real-office autonomous HVAC control is a substantive bounded facilities-management case with measured energy and comfort outcomes. Full configurations, human roles, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.7,calibration_draft
13-1041.00,Compliance Officers,expansion-2.1-initial-reviewed,CAN-13-1041-01,"Administer licenses, permits, and eligibility determinations",scope-expansion-2.1-v0.1,"Obtain applications, identity and supporting records, interviews, tests, observations, payments, prior decisions, and the governing licensing, permit, passport, or eligibility standards and procedures.","Evaluate whether the submission is complete, authentic, internally consistent, and supported by the facts, and determine how the applicant's evidence compares with the governing standards.","Determine eligibility, test or application disposition, credential type and conditions, required clarification or escalation, applicable fees, and the requirements and appeal information to communicate.","Administer the examination or review, issue or deny the credential or eligibility determination, collect and record required fees, document the basis, and communicate the decision and procedural options.",2026-08-20,2,4,4,1,"The roof-code validator supports 2/4/4/1 for a bounded Florida permit-review configuration. Humans create and submit the application record, but the integrated system interprets drawings against the governing code and makes accurate pass/fail findings without routine case-by-case correction. It generates a report but does not issue or deny a credential, collect fees, or communicate an enforceable determination.",0.7,calibration_draft
13-1041.00,Compliance Officers,expansion-2.1-initial-reviewed,CAN-13-1041-02,"Monitor, investigate, and remediate regulatory compliance",scope-expansion-2.1-v0.1,"Obtain applicable requirements and policies, operational and facility records, complaints and reported issues, inspection observations, prior findings, corrective-action evidence, and information about regulatory changes.","Assess conformity, verify relevant facts, identify violations or control failures, determine their severity and cause, and evaluate whether corrective actions adequately resolve the condition.","Determine the compliance finding, warning, remediation requirement, enforcement or audit escalation, responsible party, follow-up method, and whether the matter can be closed.","Conduct the review or inspection, document and communicate findings, warn responsible parties, initiate or support corrective action, escalate violations when warranted, and monitor the condition through resolution.",2026-08-20,2,3,3,1,"FinGuard supports 2/3/3/1 for bounded monitoring of LLM financial interactions against Chinese financial regulations. It retrieves applicable rules, detects and explains noncompliance, and adapts strongly to unseen policies, but reported response performance still implies routine verification and the system does not investigate regulated entities, impose remediation, or monitor closure.",0.7,calibration_draft
13-1071.00,Human Resources Specialists,expansion-1.1-reviewed,CAN-13-1071-01,"Administer recruitment, credentialing, and the employment relationship",scope-expansion-1.1,"Obtain job and workforce requirements, candidate applications and profiles, credentials, screening information, employment records, policies, benefits information, employee cases, separation information, and applicable organizational and legal requirements.","Compare qualifications, credentials, and employment facts with job requirements, policies, and governing requirements; identify fit, eligibility, missing or inconsistent information, compliance issues, and employee-relations implications.","Rank or select candidates; determine screening, interview, offer, hiring, onboarding, or credential-eligibility actions; and choose appropriate employment-administration or employee-relations responses within delegated authority.","Source and communicate with candidates; administer selection, hiring, orientation, benefits, records, policy communication, employee matters, reporting, and separation activities.",2026-08-19,4,4,4,4,"The stagewise frontier is 4/4/4/4. EVID-v07-OPS-005 supports Acquire 4 for the prospectively defined, bounded endpoint of retrieving and ranking up to ten public professional profiles from a contextual U.S. sourcing query: Pearch.ai returned 398 profiles for 45 of 48 queries, averaged 8.8 results per query, and ranked first on expert-recruiter relevance judgments. The missing recall study prevents a claim that it finds the complete candidate universe, but it does not invalidate the study-defined top-k sourcing endpoint. EVID-v07-OPS-006 through EVID-v07-OPS-008 support Interpret, Decide, and the bounded Act endpoint of advancing applicants in the preregistered Ghana teacher-recruitment experiment. These ceilings do not cover final hiring, onboarding, benefits, employee relations, separation, records, or licensing eligibility. Selected evidence IDs: EVID-v07-OPS-005, EVID-v07-OPS-006, EVID-v07-OPS-007, EVID-v07-OPS-008.",0.7,final
13-1081.00,Logisticians,expansion-2.1-initial-reviewed,CAN-13-1081-01,"Design, coordinate, and improve lifecycle logistics",scope-expansion-2.1-v0.1,"Obtain customer and product-support requirements, demand and delivery commitments, inventory and material status, supplier and subcontractor information, maintenance and technical-data needs, lifecycle plans, costs, schedules, and logistics performance measures.","Assess resource and service gaps, dependencies, bottlenecks, supportability, supplier and maintenance risks, cost and schedule tradeoffs, design-change effects, and performance against lifecycle commitments.","Select the logistics and support approach, resource allocations, supplier and subcontractor actions, delivery and maintenance schedules, technical-data and training needs, controls, priorities, and system improvements.","Coordinate materials, suppliers, subcontractors, delivery, maintenance, technical data, training resources, and project controls; implement logistics changes; and monitor and report lifecycle cost and service performance.",2026-08-20,3,3,3,3,"JD.com's SCPA supports 3/3/3/3 for enterprise supply-chain planning. It integrates demand, inventory, fulfillment, and planning data and is deployed at very large scale with reported accuracy, in-stock, and processing-time gains. Human strategic intent and incomplete disclosure of exception and approval rates prevent 4s; physical fulfillment is outside the demonstrated endpoint.",0.7,calibration_draft
13-2011.00,Accountants and Auditors,pilot-1.0,ACC-01,"Maintain accounting records, systems, and financial reports",scope-pilot-1.0,"Obtain transaction records, account balances, supporting documents, prior-period information, accounting policies, and applicable reporting requirements.","Classify financial events, reconcile related records, identify missing or inconsistent information, and apply applicable accounting and reporting standards.","Determine account assignments, adjustments, recognition and measurement treatments, discrepancy resolutions, and whether records and reports are accurate, complete, and conforming.","Record and classify transactions, post adjustments, resolve discrepancies, maintain and close the accounts, and prepare and issue financial statements and reports.",2026-08-19,2,2,3,2,"Acquire 2: EVID-v06-ACC-01-FINCH-ACQ; Interpret 2: EVID-v06-ACC-01-FINBALANCE-INT; Decide 3: EVID-v06-ACC-01-BARDELLI-DEC; Act 2: EVID-v06-ACC-01-FINBALANCE-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
13-2011.00,Accountants and Auditors,pilot-1.0,ACC-02,Conduct and report audit or assurance engagements,scope-pilot-1.0,"Obtain engagement criteria, financial records, transaction evidence, system and control documentation, applicable requirements, interviews, and observations needed for the examination.","Evaluate the relevance and sufficiency of evidence, compare records, controls, systems, and operations with governing criteria, and assess errors, deficiencies, fraud indicators, noncompliance, and ineffectiveness.","Set or adjust engagement scope and procedures, determine the significance of identified matters, reach supportable assurance conclusions, and formulate appropriate recommendations.","Perform and direct examination procedures, document the work and conclusions, and report findings and recommendations to responsible parties.",2026-08-19,2,2,2,2,"Acquire 2: EVID-v06-ACC-02-MINDBRIDGE-ACQ; Interpret 2: EVID-v06-ACC-02-AUDITBENCH-INT; Decide 2: EVID-v06-ACC-02-AUDITBENCH-DEC; Act 2: EVID-v06-ACC-02-AUDITBENCH-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
13-2011.00,Accountants and Auditors,pilot-1.0,ACC-03,"Provide financial planning, analysis, and decision support",scope-pilot-1.0,"Obtain historical financial results, operating data, commitments, objectives, constraints, assumptions, and other inputs relevant to planning or advice.","Analyze financial condition, operating trends, cost and revenue drivers, variances, obligations, and the implications of alternative assumptions or scenarios.","Select defensible planning assumptions, determine budgets and forecasts, evaluate alternatives, and formulate financial assessments or recommendations.","Prepare budgets, forecasts, analyses, and management reports, and communicate decision-useful financial advice to management or clients.",2026-08-19,2,2,2,2,"Acquire 2: EVID-v06-ACC-03-FINCH-ACQ; Interpret 2: EVID-v06-ACC-03-FINCH-INT; Decide 2: EVID-v06-ACC-03-FINCH-DEC; Act 2: EVID-v06-ACC-03-FINCH-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
13-2011.00,Accountants and Auditors,pilot-1.0,ACC-04,Determine and document tax liabilities and filings,scope-pilot-1.0,"Obtain taxpayer identity and filing status, income and transaction records, deductions, credits, asset basis, prior filings, supporting documents, and applicable tax requirements.","Classify tax-relevant events, reconcile supporting records, apply governing tax rules, and identify missing information, uncertain treatment, eligibility, basis, and reporting implications.","Determine taxable amounts and liabilities, elections and treatments, filing positions, required forms and disclosures, payment obligations, and matters requiring escalation.","Prepare and complete compliant tax returns, schedules, supporting documentation, and related reporting or payment instructions.",2026-08-19,2,4,4,2,"Acquire 2: EVID-v06-ACC-04-JUNO-ACQ; Interpret 4: EVID-v06-ACC-04-OPENTAX-INT; Decide 4: EVID-v06-ACC-04-OPENTAX-DEC; Act 2: EVID-v06-ACC-04-REALMTAX-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
13-2051.00,Financial and Investment Analysts,expansion-2.1-initial-reviewed,CAN-13-2051-01,Evaluate investments and provide financial recommendations,scope-expansion-2.1-v0.1,"Obtain company and security financial information, market and industry data, economic conditions, property information, prices, portfolio positions, investment objectives, constraints, and relevant historical performance.","Analyze financial and operating performance, valuation drivers, market and industry trends, expected returns, uncertainty, downside and portfolio risk, and the implications of alternative assumptions or scenarios.","Select valuation assumptions and methods, determine an investment view and risk assessment, choose recommendation, timing, pricing, allocation, or authorized portfolio action, and identify conditions requiring revision.","Build and document valuations and investment analyses, prepare and communicate recommendations and risk assessments, monitor relevant developments, and execute or record authorized investment actions.",2026-08-20,2,2,2,2,"Acquire 2: EVID-v07-CAN-13-2051-01-FINANCEBENCH-ACQ; Interpret 2: EVID-v07-CAN-13-2051-01-FINANCEBENCH-INT; Decide 2: EVID-v07-CAN-13-2051-01-FINANCEBENCH-DEC; Act 2: EVID-v07-CAN-13-2051-01-FINANCEBENCH-ACT. Stagewise frontier; systems may differ. Direct analyst-task execution is substantial, but benchmark accuracy requires routine human correction. Full configurations, human roles, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.7,calibration_draft
13-2051.00,Financial and Investment Analysts,expansion-2.1-initial-reviewed,CAN-13-2051-02,Structure and support financing and capital transactions,scope-expansion-2.1-v0.1,"Obtain the client's capital needs, financial condition, existing obligations and capitalization, transaction objectives and constraints, comparable and market information, prospective counterparties, professional inputs, and execution requirements.","Assess financing capacity, valuation, transaction feasibility, market receptivity, restructuring and capitalization alternatives, risks, participant dependencies, and the implications of possible terms and offering prices.","Select the financing or transaction structure, instruments, proposed terms and price, timing, participants, presentation approach, and recommended path to an executable package.","Develop transaction models, presentations, offering and deal materials; coordinate the client and professional or market participants; present and negotiate the package; and support its documented execution.",2026-08-20,2,2,2,2,"BankerToolBench supports 2/2/2/2. Tool-using agents perform substantial financing and capital-markets workflow components, but the best configuration fails nearly half of rubric criteria and produces no fully client-ready deliverable. Humans must complete source checking, structure and valuation judgment, materials, negotiation, and execution.",0.7,calibration_draft
15-1212.00,Information Security Analysts,expansion-1.1-reviewed,CAN-15-1212-01,Safeguard information systems and data,scope-expansion-1.1,"In computer-network and data-processing environments, obtain system and data inventories, architectures, configurations, user and business access needs, planned changes, incidents, violations, and continuity requirements; monitor threat and virus reports and data-file use; and conduct or obtain security-control and data-processing test results.","Analyze vulnerabilities, threats, access activity, violations, and control effectiveness to determine exposure, access appropriateness, safeguard and testing gaps, and emergency or continuity implications.","Prioritize risks and choose safeguards, access changes, protection updates, remediation, emergency measures, implementation sequencing, escalation, and user-awareness responses.","Implement and update security and access controls, regulate access, coordinate security-plan and system changes with users and service providers, address procedural violations and communicate corrective procedures, document safeguards, tests, and emergency measures, and train users.",2026-08-19,4,2,3,3,"EVID-v07-CYB-001 through EVID-v07-CYB-004 use stage-specific frontier configurations from CyberGym-E2E for the bounded source-code vulnerability workflow. Acquire = 4 because the agents independently navigate the supplied repository and build/test environment and gather the context needed for analysis without routine substantive human help; missed vulnerabilities are failures of interpretation, not acquisition of the available inputs. Interpret = 2 because open-ended vulnerability discovery remains materially incomplete: even an uncapped Claude Opus 4.6 agent reached about 63% end-to-end success, so a human must still search for important missed vulnerabilities. Decide = 3 and Act = 3 because GPT-5.4 with Codex achieved 87.1% in the patch-only setting, demonstrating strong autonomous remediation selection, code modification, rebuilding, and testing, while remaining failures and shallow fixes justify a routine technical review and validation gate. These ratings apply to substantive repository-based vulnerability discovery and remediation, not every information-security activity such as live-network monitoring, identity administration, continuity planning, policy, or user training. Selected stage evidence IDs: EVID-v07-CYB-001, EVID-v07-CYB-002, EVID-v07-CYB-003, EVID-v07-CYB-004.",0.7,final
15-1244.00,Network and Computer Systems Administrators,expansion-2.1-initial-reviewed,CAN-15-1244-01,"Operate, secure, restore, and improve networked systems",scope-expansion-2.1-v0.1,"Obtain computing requirements, asset and configuration inventories, network and server status, logs and alerts, access and security information, backup and recovery status, user incidents, performance measures, dependencies, licenses, vendor information, and available parts or resources.","Assess availability, performance, capacity, compatibility, security exposure, configuration integrity, fault causes, user impact, backup sufficiency, and recovery or upgrade requirements across the networked environment.","Select architecture and configuration changes, access controls, patches and upgrades, troubleshooting and repair steps, backup or recovery actions, resource priorities, vendor actions, and the response to incidents or anticipated requirements.","Configure, administer, monitor, secure, troubleshoot, repair, restore, document, and improve network, server, operating-system, communications, and related environments, and provide the required user and vendor coordination.",2026-08-20,4,4,4,4,"The exact OperAID Qwen3.5-35B-A3B tool configuration supports 4/4/4/4 for three bounded Kubernetes/Open5GS fault classes. It collected telemetry, diagnosed faults, chose and executed remediation, and verified recovery with 93.3% success across 900 experiments. The 6.7% failed runs are treated as rare exceptions; the score does not generalize to all network administration, architectures, security incidents, or physical work.",0.7,calibration_draft
15-1252.00,Software Developers,pilot-1.0,SWD-01,Deliver and sustain a software system or change,scope-pilot-1.0,"Obtain user and organizational needs, functional and nonfunctional requirements, code and architecture, interfaces and data, runtime and operational information, and performance, security, cost, schedule, and technical constraints.","Analyze requirements and feasibility, trace existing system behavior, reconcile competing needs, diagnose defects or incidents, and assess dependency, compatibility, performance, security, deployment, and maintenance implications.","Specify requirements and acceptance criteria; select architecture, interfaces, implementation, testing, deployment, rollback, monitoring, and maintenance approaches; and prioritize changes and responses.","Design, implement, modify, integrate, test, validate, document, deploy, monitor, troubleshoot, maintain, and support the software system or change, including necessary technical and user handoffs.",2026-08-19,4,4,4,4,"Acquire 4: EVID-v06-SWD-01-CODEX-ACQ; Interpret 4: EVID-v06-SWD-01-CODEX-INT; Decide 4: EVID-v06-SWD-01-CODEX-DEC; Act 4: EVID-v06-SWD-01-CODEX-ACT. Stagewise frontier; systems may differ. Full configurations, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.6,pilot_v0_6_frozen
15-2051.00,Data Scientists,expansion-2.1-initial-reviewed,CAN-15-2051-01,Develop and deliver data-driven models and findings,scope-expansion-2.1-v0.1,"Obtain the analytical question and objectives, relevant data sources and definitions, samples or survey inputs, permissions, prior findings, operational context, and constraints on analysis, validation, and use.","Assess data quality and representativeness, identify patterns and relationships, estimate effects or predictions, evaluate model performance and uncertainty, and interpret the practical meaning and limitations of the findings.","Select the analytical design, data treatment, features, statistical or machine-learning methods, model, validation approach, thresholds, presentation, and defensible findings or recommendations.","Prepare data; develop, test, and validate code and models; document methods and limitations; produce visualizations and findings; and deliver or implement the analytical output for its defined use.",2026-08-20,2,2,2,2,"Acquire 2: EVID-v07-CAN-15-2051-01-DSAGENT-ACQ; Interpret 2: EVID-v07-CAN-15-2051-01-DSAGENT-INT; Decide 2: EVID-v07-CAN-15-2051-01-DSAGENT-DEC; Act 2: EVID-v07-CAN-15-2051-01-DSAGENT-ACT. Stagewise frontier; systems may differ. End-to-end data-science agents perform each stage, but the leading measured completion rate is far below a stage-complete acceptable-performance threshold. Full configurations, human roles, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.7,calibration_draft
17-1011.00,"Architects, Except Landscape and Naval",expansion-2.1-initial-reviewed,CAN-17-1011-01,Design and carry architectural projects through construction,scope-expansion-2.1-v0.1,"Obtain client objectives, functional and spatial requirements, site and existing-condition information, regulatory and environmental requirements, cost and schedule constraints, specialist inputs, material and system options, and construction observations.","Assess site and program feasibility, spatial and technical relationships, code and environmental constraints, design coherence, cost and schedule implications, specialist conflicts, and construction conformity with the documented design.","Select the architectural concept, program and layout, materials and design treatments, sustainability approach, specialist coordination, documentation and procurement approach, and responses to bidding or construction conditions.","Develop and document the integrated design through drawings, models, specifications, cost and schedule information; coordinate specialists and procurement; administer design-related contracts; observe construction; and record delivery information.",2026-08-20,2,2,2,2,"Acquire 2: EVID-v07-CAN-17-1011-01-BIM_AUTOMATION-ACQ; Interpret 2: EVID-v07-CAN-17-1011-01-BIM_AUTOMATION-INT; Decide 2: EVID-v07-CAN-17-1011-01-BIM_AUTOMATION-DEC; Act 2: EVID-v07-CAN-17-1011-01-BIM_AUTOMATION-ACT. Stagewise frontier; systems may differ. BIM agents perform substantial building-design work but require frequent professional correction, especially at assembly and system levels. Full configurations, human roles, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.7,calibration_draft
17-2051.00,Civil Engineers,expansion-1.1-reviewed,CAN-17-2051-01,"Plan, design, and oversee civil engineering projects",scope-expansion-1.1,"Obtain project requirements, applicable technical and safety criteria, cost, resource, and schedule data, and construction, operation, and maintenance status; collect or retrieve maps and topographic, geologic, traffic, and environmental data through site surveys, soil or material tests, and inspections, including aerial or drone-supported observations.","Analyze site, material, hydraulic, structural, transportation, and environmental conditions; calculate loads, grades, flows, and stresses; and assess feasibility, cost, risk, impact, progress, defects, safety, and design conformance.","Select design specifications, alignments, materials, systems, sustainable or remediation methods, risk controls, resource priorities, and construction, repair, modification, operation, or maintenance responses.","Prepare and present designs, drawings, calculations, reports, estimates, and bid or project documents; establish survey controls; provide technical advice; direct construction, operation, maintenance, and implementation of civil, contaminated-site cleanup, or toxic-waste system solutions; and control conformance and safety through inspection findings and communicated corrections.",2026-08-19,2,4,4,4,"Acquire 2 is supported by EVID-v07-BB-CIV-ACQ: an autonomous quadruped gathers substantial site-inspection imagery, but engineers still supply the BIM model and inspection targets. Interpret 4 is supported by EVID-v07-BB-CIV-INT, which automatically converts UAV imagery into accurate activity-level bridge-pier progress. Decide 4 and Act 4 are supported by EVID-v07-BB-CIV-DEC and EVID-v07-BB-CIV-ACT: a coherent generative-AI system selects an optimized shear-wall structural scheme and produces the analysis model and design artifacts without a routine engineer gate in the evaluated cases. These are separate bounded configurations and do not establish one autonomous end-to-end civil-project system.",0.7,final
17-2141.00,Mechanical Engineers,expansion-2.1-initial-reviewed,CAN-17-2141-01,"Design, validate, and sustain mechanical products and systems",scope-expansion-2.1-v0.1,"Obtain functional and operating requirements, loads and environmental conditions, material and manufacturing information, cost and schedule constraints, safety requirements, existing designs, test and prototype results, installation and maintenance data, and failure or service evidence.","Assess mechanical behavior, stresses and performance, feasibility, safety, manufacturability, cost, environmental effects, test results, failure causes, operating limitations, and lifecycle maintenance implications.","Select the design and specifications, materials and tolerances, modeling and test approach, manufacturing and installation methods, operating and maintenance requirements, and corrective or performance-improvement actions.","Create models, designs, drawings, specifications, estimates, and prototypes; conduct and document tests; refine the design; coordinate manufacturing and installation; diagnose failures; and implement or direct maintenance, repair, and performance improvements.",2026-08-20,4,4,4,4,"LLM-IDA supports 4/4/4/4 for the bounded digital mechanical-design cases. Human provision of a high-level design goal and reusable templates is permitted by v0.7 and does not constitute routine substantive completion of Acquire; the configuration independently retrieves and organizes the needed design knowledge, simulates and optimizes candidates, selects a result, and creates digital prototypes.",0.7,calibration_draft
19-2031.00,Chemists,expansion-2.1-initial-reviewed,CAN-19-2031-01,"Conduct chemical research and develop products, processes, and methods",scope-expansion-2.1-v0.1,"Obtain the research or development objective, existing chemical knowledge and prior results, samples and materials, reagents, instrument and process conditions, product or method requirements, experimental observations, and applicable safety and quality constraints.","Analyze composition, structure, properties, reactions, experimental results, method performance, uncertainty, and the implications of findings for chemical knowledge, formulations, materials, products, or processes.","Select hypotheses, experimental design, analytical or synthesis method, materials and conditions, formulation or process alternatives, validation tests, and the next research or development direction.","Prepare and conduct chemical experiments and analyses, develop and refine methods, formulations, products, materials, or processes, and document and communicate the resulting findings and specifications.",2026-08-20,4,4,4,4,"Acquire 4: EVID-v07-CAN-19-2031-01-COSCIENTIST-ACQ; Interpret 4: EVID-v07-CAN-19-2031-01-COSCIENTIST-INT; Decide 4: EVID-v07-CAN-19-2031-01-COSCIENTIST-DEC; Act 4: EVID-v07-CAN-19-2031-01-COSCIENTIST-ACT. Stagewise frontier; systems may differ. Coscientist provides peer-reviewed end-to-end autonomous chemical research evidence in multiple bounded laboratory cases. Full configurations, human roles, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.7,calibration_draft
19-2031.00,Chemists,expansion-2.1-initial-reviewed,CAN-19-2031-02,Verify chemical quality and troubleshoot production processes,scope-expansion-2.1-v0.1,"Obtain specifications and standards, representative samples, production and process conditions, equipment status, test methods and instrument readings, prior quality results, reported deviations, and laboratory-readiness information.","Compare test and process evidence with requirements, identify nonconformity and performance deviations, diagnose likely material, equipment, or process causes, and assess the validity and operational implications of the results.","Determine the quality or operating disposition, whether to confirm or repeat testing, the significance of deviations, and the corrective, troubleshooting, process-adjustment, reporting, or escalation response.","Perform and document chemical quality and process tests, issue the supported disposition, communicate deviations, troubleshoot equipment or operations, and implement or coordinate the selected corrective response.",2026-08-20,1,4,4,4,The stagewise frontier combines two eligible research configurations. The interpretable neural fault-diagnosis model supports Acquire 1 and Interpret 4 for supplied Tennessee Eastman process data; the LLM fault-tolerant-control agents support Decide 4 and Act 4 for bounded digital-twin recovery cases. The removed functional-observer source was deterministic model-based control rather than material AI.,0.7,calibration_draft
